Exercise Name,Type of Activity,Type of Equipment,Body Part,Type,Muscle Groups Activated,Instructions,Video Link
Yoga Flow,Stretching,Foam Roller,Core,Hold,"Quadriceps, Glutes, Hamstrings","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=op9kVnSso6Q
Stretching Routine,Strength,Kettlebell,Upper body,Pull,"Lower Abdominals, Hip Flexors","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Cable Row,Warm-up,Resistance Band,Core,Push,"Biceps, Forearms","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=aclHkVaku9U
Ankle Circles,Cardio,Barbell,Core,Hold,"Chest, Triceps, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=9FGilxCbdz8
Jump Rope,Mobility,Foam Roller,Lower body,Push,"Hip Flexors, Glutes","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=JB2oyawG9KI
Dips,Strength,Foam Roller,Upper body,Pull,"Hip Flexors, Glutes","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Box Jumps,Stretching,Resistance Band,Core,Pull,"Lats, Biceps, Rear Delts","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Neck Stretch,Mobility,Resistance Band,Core,Push,"Abdominals, Lower Back, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Bicep Curl,Stretching,Dumbbells,Upper body,Stretch,"Shoulders, Triceps","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Treadmill Sprint,Cardio,Kettlebell,Lower body,Stretch,"Shoulders, Triceps","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Deadlifts,Warm-up,Barbell,Upper body,Push,"Hip Flexors, Glutes","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=JB2oyawG9KI
Hip Flexor Stretch,Strength,Body weight,Core,Hold,"Lower Abdominals, Hip Flexors","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=DXuStgWuJV8
Incline Dumbbell Press,Strength,Resistance Band,Core,Hold,"Abdominals, Obliques","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=JB2oyawG9KI
Leg Press,Strength,Resistance Band,Upper body,Push,"Lats, Biceps, Rear Delts","Sit on the leg press machine with your back and head flat against the seat pad.

Place your feet shoulder-width apart in the middle of the platform, toes slightly angled outward.

Grip the handles for support and disengage the safety locks.

Slowly lower the platform by bending your knees until your legs reach about a 90-degree angle — don’t let your hips lift off the pad.

Press through your heels to extend your legs and return to the starting position, avoiding full knee lockout.

Repeat for the desired number of reps.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Plank,Mobility,Barbell,Lower body,Stretch,"Hip Flexors, Glutes","Begin by lying face down on the floor or a mat.

Place your forearms on the ground with elbows directly under your shoulders and hands flat or clasped.

Engage your core, glutes, and legs, then lift your body off the ground so it forms a straight line from head to heels.

Keep your gaze down and neck neutral — don’t let your hips sag or rise.

Hold this position for the desired duration while breathing steadily.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Pike Push-Up,Cardio,Dumbbells,Core,Stretch,"Lats, Biceps, Rear Delts","Start in a downward dog position — hands shoulder-width apart, hips lifted high, and legs straight so your body forms an inverted “V”.

Keep your head between your arms and your core tight.

Bend your elbows and slowly lower the top of your head toward the floor, keeping elbows slightly tucked.

Push through your palms to extend your arms and return to the starting position.

Maintain control and avoid arching your back throughout the movement.",https://www.youtube.com/watch?v=op9kVnSso6Q
Sprint Intervals,Strength,Barbell,Core,Hold,"Abdominals, Obliques","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Reverse Lunge,Cardio,Barbell,Core,Stretch,"Lats, Biceps, Rear Delts","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Shoulder Stretch,Stretching,Foam Roller,Lower body,Hold,"Lower Abdominals, Hip Flexors","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Good Mornings,Stretching,Foam Roller,Upper body,Pull,"Abdominals, Obliques","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Chin-Ups,Warm-up,Kettlebell,Lower body,Hold,"Abdominals, Obliques","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Leg Extension,Strength,Kettlebell,Upper body,Stretch,"Chest, Triceps, Shoulders","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Deadlift,Cardio,Foam Roller,Core,Hold,"Biceps, Forearms","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Single-Leg Deadlift,Stretching,Barbell,Upper body,Stretch,"Abdominals, Obliques","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Foam Rolling,Warm-up,Barbell,Lower body,Push,"Lower Abdominals, Hip Flexors","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Chest Stretch,Stretching,Foam Roller,Upper body,Stretch,"Lats, Biceps, Rear Delts","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Boxing Drills,Mobility,Resistance Band,Lower body,Push,"Lower Abdominals, Hip Flexors","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Treadmill Sprint,Strength,Kettlebell,Core,Push,"Quadriceps, Glutes, Hamstrings","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Air Bike,Stretching,Foam Roller,Core,Stretch,"Lats, Biceps, Rear Delts","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Hammer Curl,Warm-up,Dumbbells,Lower body,Pull,"Hip Flexors, Glutes","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Stretching Routine,Strength,Bodyweight,Core,Hold,"Quadriceps, Glutes, Hamstrings","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Yoga Flow,Stretching,Kettlebell,Core,Stretch,"Quadriceps, Glutes, Hamstrings","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Hanging Leg Raise,Cardio,Kettlebell,Lower body,Hold,"Hamstrings, Glutes, Lower Back","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Step-Ups,Cardio,Barbell,Core,Stretch,"Lats, Biceps, Rear Delts","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Front Raises,Strength,Barbell,Lower body,Push,"Abdominals, Lower Back, Shoulders","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=op9kVnSso6Q
Push-Ups,Warm-up,Bodyweight,Lower body,Stretch,"Shoulders, Triceps","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Bent Over Row,Warm-up,Kettlebell,Lower body,Stretch,"Chest, Triceps, Shoulders","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Hip Flexor Stretch,Stretching,Bodyweight,Lower body,Push,"Abdominals, Obliques","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Neck Stretch,Strength,Dumbbells,Lower body,Pull,"Hip Flexors, Glutes","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Step-Ups,Mobility,Bodyweight,Upper body,Hold,"Biceps, Forearms","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=9FGilxCbdz8
Flutter Kicks,Cardio,Kettlebell,Core,Push,"Abdominals, Obliques","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=aclHkVaku9U
Seated Calf Raise,Cardio,Foam Roller,Lower body,Pull,"Lower Abdominals, Hip Flexors","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=JB2oyawG9KI
Face Pulls,Strength,Kettlebell,Lower body,Pull,"Hip Flexors, Glutes","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=aclHkVaku9U
Sled Push,Warm-up,Dumbbells,Upper body,Stretch,"Lower Abdominals, Hip Flexors","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Chest Stretch,Mobility,Resistance Band,Core,Stretch,"Abdominals, Obliques","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
